Tree File,Acrocephalus stentoreus,Actitis hypoleucos,Actophilornis africanus,Aethia cristatella,Aethia psittacula,Alca torda,Alle alle,Amadina fasciata,Anarhynchus frontalis,Anas,Anhima cornuta,Anomalopteryx didiformis,Anous tenuirostris,Anser albifrons,Anthus spinoletta,Aphelocoma coerulescens,Aphriza virgata,Aptenodytes forsteri,Aptenodytes patagonicus,Arenaria interpres,Attagis gayi,Bartramia longicauda,Brachyramphus brevirostris,Bradypterus cinnamomeus,Burhinus vermiculatus,Cacomantis flabelliformis,Calidris alpina,Calidris canutus,Calidris ferruginea,Calidris fuscicollis,Calidris himantopus,Calidris maritima,Calidris mauri,Calidris minutilla,Calidris ruficollis,Campylorhamphus falcularius,Campylorhamphus procurvoides,Campylorhamphus trochilirostris,Caprimulgus longirostris,Catharacta antarctica,Catharacta chilensis,Catharacta hamiltoni,Catharacta lonnbergi,Catharacta maccormicki,Catharacta skua,Catharus guttatus,Catoptrophorus semipalmatus,Cepphus columba,Cercococcyx montanus,Cerorhinca monocerata,Cettia cetti,Chamaea fasciata,Charadrius falklandicus,Charadrius montanus,Charadrius semipalmatus,Charadrius vociferus,Chauna torquata,Chionis minor,Chlidonias leucopterus,Chloropeta gracilirostris,Chondestes grammacus,Chrysococcyx osculans,Cinclocerthia gutturalis,Cinclocerthia ruficauda,Cisticola cherina,Cisticola juncidis,Cladorhynchus leucocephalus,Clamator glandarius,Clamator jacobinus,Coccyzus americanus,Coccyzus erythropthalmus,Coenocorypha aucklandica,Columba livia,Copsychus albospecularis,Corvus corax,Corvus coronoides,Crax blumenbachii,Creagrus furcatus,Crotophaga sulcirostris,Cuculus canorus,Cuculus pallidus,Cuculus poliocephalus,Cursorius temminckii,Daption capense,Dendrexetastes rufigula,Dendrocolaptes certhia,Dinornis giganteus,Dinornis novaezealandiae,Diomedea exulans,Diomedea melanophris,Dromococcyx phasianellus,Dumetella carolinensis,Elseyornis melanops,Emeus crassus,Erithacus rubecula,Erythrogonys cinctus,Esacus magnirostris,Eudromias morinellus,Eudyptes chrysocome,Eudyptes chrysolophus,Eudyptes pachyrhynchus,Eudyptes robustus,Eudyptes schlegeli,Eudyptes sclateri,Eudyptula albosignata,Eudyptula minor,Euryapteryx geranoides,Eurynorhynchus pygmeus,Ficedula parva,Fratercula arctica,Fringilla coelebs,Gallinago gallinago,Gallus,Gallus gallus,Garrulax leucolophus,Gavia immer,Gavia stellata,Gelochelidon nilotica,Geococcyx californianus,Glareola maldivarum,Glareola nuchalis,Glyphorynchus spirurus,Guira guira,Gygis alba,Haematopus ater,Heteroscelus incanus,Himantopus mexicanus,Hippolais polyglotta,Hydrophasianus chirurgus,Hydroprogne caspia,Hylexetastes perrotii,Hypergerus atriceps,Ibidorhyncha struthersii,Illadopsis pyrrhoptera,Irediparra gallinacea,Jacana jacana,Larosterna inca,Larus,Larus argentatus,Larus marinus,Leiothrix lutea,Lepidocolaptes albolineatus,Lepidocolaptes angustirostris,Lepidocolaptes fuscus,Limicola falcinellus,Limnodromus griseus,Limnodromus scolopaceus,Limosa haemastica,Locustella certhiola,Locustella fluviatilis,Lonchura bicolor,Lonchura cantans,Lonchura castaneothorax,Lonchura cucullata,Lonchura fringilloides,Lonchura griseicapilla,Lonchura leucogastroides,Lonchura maja,Lonchura punctulata,Lonchura quinticolor,Lonchura spectabilis,Lonchura striata,Lophorina superba,Luscinia luscinia,Luscinia megarhynchos,Lymnocryptes minimus,Macronectes giganteus,Margarops fuscatus,Margarops fuscus,Megadyptes antipodes,Megalapteryx benhami,Megalapteryx didinus,Megapodius,Melanoptila glabrirostris,Melanotis caerulescens,Melospiza melodia,Microparra capensis,Miliaria calandra,Mimodes graysoni,Mimus gilvus,Mimus gundlachii,Mimus polyglottos,Mimus saturninus,Motacilla alba,Muscicapa striata,Nasica longirostris,Neomixis flavoviridis,Neomixis striatigula,Neomixis tenella,Neomorphus geoffroyi,Numenius minutus,Nycticryphes semicollaris,Oceanites oceanicus,Oceanodroma leucorhoa,Oenanthe alboniger,Oenanthe deserti,Oenanthe finschii,Oenanthe hispanica,Oenanthe isabellina,Oenanthe leucopyga,Oenanthe lugens,Oenanthe moesta,Oenanthe oenanthe,Oenanthe picata,Oenanthe pleschanka,Oenanthe xanthoprymna,Oreopholus ruficollis,Oreoscoptes montanus,Orthotomus sutorius,Ortygospiza atricollis,Pachyornis australis,Pachyornis elephantopus,Pachyornis mappini,Pachyptila desolata,Padda fuscata,Pagophila eburnea,Paraptenodytes antarcticus,Passer ammodendri,Passer domesticus,Passer flaveolus,Passer griseus,Passer hispaniolensis,Passer luteus,Passer melanurus,Passer montanus,Passer rutilans,Passerella iliaca,Pedionomus torquatus,Pelecanoides urinatrix,Peltohyas australis,Petronia petronia,Phaenicophaeus curvirostris,Phaenicophaeus superciliosus,Phaetusa simplex,Phalaropus tricolor,Phegornis mitchellii,Philomachus pugnax,Phoebetria palpebrata,Phylloscopus collybita,Phylloscopus pulcher,Phylloscopus trochiloides,Piaya cayana,Pinguinus impennis,Piranga ludoviciana,Pluvialis dominica,Pluvialis squatarola,Pluvianellus socialis,Pluvianus aegyptius,Poephila cincta,Pomatorhinus ochraceiceps,Pomatostomus isidorei,Pomatostomus ruficeps,Procellaria aequinoctialis,Pterocles namaqua,Pterocles orientalis,Pterodroma incerta,Ptychoramphus aleuticus,Puffinus griseus,Pygoscelis adeliae,Pygoscelis antarctica,Pygoscelis papua,Pytilia melba,Quelea cardinalis,Ramphocinclus brachyurus,Recurvirostra americana,Regulus regulus,Rhinoptilus chalcopterus,Rhodostethia rosea,Rissa tridactyla,Rostratula australis,Rostratula benghalensis,Rynchops niger,Scolopax minor,Scotocerca inquieta,Sittasomus griseicapillus,Spheniscus demersus,Spheniscus humboldti,Spheniscus magellanicus,Spheniscus mendiculus,Spizella passerina,Stachyris whiteheadi,Stercorarius longicaudus,Stercorarius parasiticus,Stercorarius pomarinus,Sterna anaethetus,Sterna fuscata,Sterna hirundo,Sterna sandvicensis,Sterna superciliaris,Stiltia isabella,Struthio,Struthio camelus,Sturnus vulgaris,Surniculus lugubris,Sylvia atricapilla,Sylvia borin,Sylvia melanocephala,Synthliboramphus antiquus,Taeniopygia bichenovii,Taeniopygia guttata,Tapera naevia,Terpsiphone cinnamomea,Thamnornis chloropetoides,Thinocorus rumicivorus,Thinornis novaeseelandiae,Toxostoma curvirostre,Toxostoma redivivum,Toxostoma rufum,Tringa cinereus,Tringa melanoleuca,Tryngites subruficollis,Turdus migratorius,Turnix hottentotta,Turnix sylvatica,Uraeginthus bengalus,Uraeginthus cyanocephalus,Uria lomvia,Vanellus chilensis,Vidua chalybeata,Xema sabini,Xenus cinereus,Xiphocolaptes promeropirhynchus,Xiphorhynchus erythropygius,Xiphorhynchus flavigaster,Xiphorhynchus guttatus,Xiphorhynchus kienerii,Xiphorhynchus lachrymosus,Xiphorhynchus obsoletus,Xiphorhynchus ocellatus,Xiphorhynchus pardalotus,Xiphorhynchus picus,Xiphorhynchus spixii,Xiphorhynchus susurrans,Xiphorhynchus triangularis,Yuhina gularis
baker_etal_2006:Baker_etal_2006_corr.tre,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
baker_etal_2007a:Baker_etal_2007a_corr.tre,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
baker_etal_2007b:Baker_etal_2007b_corr.tre,0,1,1,1,1,1,1,0,1,1,1,0,1,0,0,0,1,0,0,1,1,1,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,1,0,1,1,0,0,1,1,1,1,0,1,1,0,0,1,0,1,1,1,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,1,1,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,1,0,1,1,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
baker_strauch_1988:Baker_Strauch_1988_corr.tre,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
baptista_etal_1999:Baptista_etal_1999_corr.tre,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
barber_etal_2004:Barber_etal_2004_corr.tre,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
barhoum_2002:Barhoum_Burns_2002_corr.tre,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
bertelli_etal_2006:Bertelli_etal_2006_2_corr.tre,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bertelli_etal_2006:Bertelli_etal_2006_3_corr.tre,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bertelli_etal_2006:Bertelli_etal_2006_1_corr.tre,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
